Symbol,Price,Yield
ITW,156.15,1.9089574
ILMN,209.54,0
INCY,83.92,0
IR,87.6,1.9739007
INTC,42.75,2.6548672
ICE,67,5.4298644
IBM,147.59,3.8999026
IP,56.05,3.206751
IPG,21.34,3.3802817
IFF,138,1.9341276
INTU,152.75,0.96720195
ISRG,381.87,0
IVZ,31.92,3.466826
IQV,95.23,0
IRM,32.07,7.08258
JBHT,114.81,0.8139042
JEC,62.82,0.9089532
SJM,118.37,2.6036885
JNJ,126.36,2.5566885
JCI,36.55,2.7659574
JPM,107.88,1.9845841
JNPR,24.66,1.5754234
KSU,103.53,1.3445379
K,65.98,3.363962
KEY,20.08,1.9876952
KMB,111.69,3.5599859
KIM,14.01,7.7134986
KMI,16.8,2.891845
KLAC,98.54,2.2988505
KSS,60.34,3.4965036
KHC,71.58,3.3990483
KR,27.57,1.7301039
LB,47.77,4.886988
LLL,198.79,1.4444605
LH,165.46,0
LRCX,162.23,1.1652974
LEG,43.99,3.1454785
LEN,59.11,0.26268265
LUK,23.86,1.5993602
LLY,74.21,2.9327424
LNC,73.86,1.6813145
LKQ,38.86,0
LMT,334.3,2.315954
L,46.05,4.5131636
LOW,95.01,1.6413131
LYB,105.79,3.264714
MTB,178.35,1.6218846
MAC,58.36,4.9177604
M,24,6.098546
MRO,15.68,1.2247398
MPC,62.79,2.8268552
MAR,133.88,0.9452879
MMC,79.31,1.8257059
MLM,208.42,0.8042038
MAS,40.7,0.98383695
MA,160.62,0.5926628
MAT,16,0
MKC,101.36,2.0261056
MCD,158.97,2.437994
MCK,150.23,0.8898776
MDT,78.38,2.2618315
MRK,54.73,3.435934
MET,44.28,3.4587116
MTD,601,0
MGM,33.5,1.2687428
KORS,60.03,0
MCHP,79.9,1.7512966
MU,40,0
MSFT,85.01,1.8747908
MAA,85.39,4.19652
MHK,256.57,0
TAP,74.51,2.1533613
MDLZ,42.68,1.9977299
MON,119.08,1.7938709
MNST,61.99,0
MCO,152.14,1.114065
MS,51.79,1.8331805
MSI,98.74,2.0266979
MYL,39.25,0
NDAQ,75.21,1.9671283
NOV,32.64,0.5873715
NAVI,13.38,4.5584044
NTAP,55.85,1.3881658
NFLX,250.1,0
NWL,27.91,3.1228786
NFX,26.38,0
NEM,36.61,0.8101539
NWSA,15.65,1.24533
NWS,15.85,1.2269939
NEE,145.29,2.6537917
NLSN,33.9,3.6208732
NKE,62.49,1.2189548
NI,22.51,3.3780859
NBL,25.43,1.4771049
JWN,47.23,3.0020285
NSC,136.89,2.018503
NTRS,96.2,1.6678249
NOC,324.01,1.3030859
NCLH,56.01,0
NRG,24,1.4195584
NUE,60.38,2.415766
NVDA,217.52,0.26223776
ORLY,252.22,0
OXY,68.47,4.4081864
OMC,75.91,3.1838684
OKE,54.4,5.4436197
ORCL,46.84,1.5551463
PCAR,66.98,1.455816
PKG,111.95,2.1514556
PH,174.51,1.4401833
PDCO,32.88,3.0723782
PAYX,61.86,3.0892801
PYPL,72.32,0
PNR,66.67,2.03933
PBCT,18.56,3.59375
